weather_condition,time,stop_location,accident_severity,crime_category,passenger_count
Foggy,Afternoon,Zone B,Minor,None,100.0
Clear,Night,Zone D,None,Drug Offense,35.277819236755356
Rainy,Night,Zone C,Minor,Vandalism,81.0
Cloudy,Morning,Zone A,None,Drug Offense,102.62185179530029
Clear,Afternoon,Zone C,Major,Vandalism,44.32067021312216
Rainy,Morning,Zone E,Major,Theft,152.92010600977895
Stormy,Afternoon,Zone D,Major,Assault,78.1942706859133
Foggy,Night,Zone D,Major,Assault,92.0
Cloudy,Afternoon,Zone C,Minor,None,90.0
Foggy,Morning,Zone E,Minor,Vandalism,165.2770729143005
Stormy,Night,Zone E,Severe,Vandalism,102.26734949904792
Rainy,Morning,Zone B,None,None,95.9526533637734
Stormy,Night,Zone A,None,Theft,86.12913094078412
Stormy,Evening,Zone E,Minor,Assault,166.00223968746536
Foggy,Night,Zone A,Severe,Assault,88.87333093199291
Cloudy,Afternoon,Zone A,Severe,None,89.81777139812411
Stormy,Afternoon,Zone C,Major,Theft,38.25374716146232
Foggy,Afternoon,Zone A,Severe,Assault,92.65943852128356
Cloudy,Afternoon,Zone C,Major,Vandalism,69.0
Rainy,Afternoon,Zone D,Minor,Assault,111.0
Rainy,Evening,Zone E,Severe,None,143.08579843954584
Clear,Night,Zone C,Minor,Assault,93.15899407601717
Foggy,Night,Zone B,Severe,None,88.81357186050727
Cloudy,Evening,Zone C,Major,Drug Offense,126.91380189279315
Stormy,Evening,Zone A,Major,Theft,201.50098432519235
Rainy,Afternoon,Zone B,Severe,Assault,19.882552023457293
Cloudy,Morning,Zone A,Minor,Drug Offense,189.3929808530238
Foggy,Morning,Zone B,Severe,None,229.17691599368857
Clear,Afternoon,Zone C,Severe,Assault,84.751893523245
Rainy,Evening,Zone A,Major,Assault,123.70813497231673
Cloudy,Night,Zone C,Minor,Drug Offense,105.0
Cloudy,Morning,Zone E,Severe,Assault,292.0
Cloudy,Morning,Zone B,Major,Drug Offense,113.98917931571555
Foggy,Evening,Zone D,Minor,Drug Offense,119.97824644686474
Foggy,Afternoon,Zone D,None,Theft,53.52439526347638
Foggy,Night,Zone C,None,Theft,52.41552713303106
Stormy,Afternoon,Zone B,Severe,None,75.931507816609
Cloudy,Afternoon,Zone B,Major,Vandalism,40.0
Rainy,Afternoon,Zone C,None,Theft,49.05409724435254
Foggy,Afternoon,Zone D,Severe,Theft,97.79584373898781
Foggy,Morning,Zone E,Major,Drug Offense,119.26461581876762
Cloudy,Evening,Zone D,Severe,Drug Offense,180.6135064063534
Foggy,Night,Zone A,Severe,Drug Offense,46.03594030728968
Stormy,Morning,Zone D,Severe,Vandalism,210.6857521944402
Stormy,Night,Zone A,Major,Theft,28.621929317351565
Foggy,Night,Zone A,Minor,Assault,99.0
Cloudy,Morning,Zone E,Severe,Theft,133.91219548810218
Cloudy,Morning,Zone E,Major,None,171.29296903534438
Cloudy,Night,Zone D,None,Vandalism,46.788387356070665
Clear,Night,Zone C,None,None,51.68508225646602
Foggy,Evening,Zone D,Minor,Drug Offense,198.73583806979542
Cloudy,Morning,Zone E,Minor,Assault,154.87253186775538
Stormy,Morning,Zone A,Minor,Vandalism,215.72705564690003
Rainy,Night,Zone A,Severe,Vandalism,39.56083817436516
Rainy,Night,Zone C,None,Assault,63.56868883404072
Cloudy,Afternoon,Zone D,Major,None,90.0
Rainy,Night,Zone C,Severe,Theft,44.95762907627018
Rainy,Night,Zone C,None,None,45.523067662939866
Clear,Evening,Zone D,None,Assault,38.23791300355573
Stormy,Night,Zone B,Minor,Theft,122.42537939762781
Stormy,Afternoon,Zone D,Severe,Vandalism,83.51234380614547
Clear,Afternoon,Zone C,Major,Assault,66.47466258435941
Clear,Morning,Zone B,Minor,None,112.80003675699206
Rainy,Afternoon,Zone C,None,Assault,76.75375500690127
Foggy,Morning,Zone C,None,Vandalism,132.79919255434046
Rainy,Night,Zone C,Severe,Drug Offense,50.91533739616773
Clear,Afternoon,Zone A,Major,Vandalism,66.67599721994105
Stormy,Evening,Zone D,Severe,Vandalism,152.55199544364413
Rainy,Evening,Zone E,Major,Drug Offense,130.99456515397623
Foggy,Afternoon,Zone A,Major,Assault,81.0
Rainy,Morning,Zone D,None,Drug Offense,113.08106779149009
Cloudy,Morning,Zone A,None,Vandalism,121.0669776626085
Rainy,Morning,Zone D,Minor,Theft,147.79673726268203
Clear,Afternoon,Zone B,Major,Theft,57.8952491338791
Stormy,Night,Zone E,Severe,None,114.77857375739124
Stormy,Night,Zone B,None,None,72.88723063829833
Clear,Night,Zone B,Severe,Vandalism,24.080762669757316
Cloudy,Morning,Zone D,Major,Assault,138.31534122669038
Clear,Afternoon,Zone C,Severe,Drug Offense,59.369692964613556
Rainy,Evening,Zone C,Severe,Assault,222.45207148712305
Clear,Night,Zone C,Major,Assault,49.54559925258387
Clear,Night,Zone C,Minor,Drug Offense,89.35617119768209
Cloudy,Morning,Zone E,Severe,Theft,246.16379757745787
Rainy,Night,Zone B,Minor,Theft,85.0
Foggy,Afternoon,Zone A,Major,Drug Offense,69.0
Foggy,Night,Zone E,Severe,Drug Offense,56.15344044862404
Stormy,Morning,Zone D,Minor,Theft,169.99117416155667
Clear,Afternoon,Zone E,None,Assault,45.58022185379576
Stormy,Morning,Zone E,Major,Drug Offense,150.32982968985462
Cloudy,Evening,Zone D,None,Theft,103.1759174326466
Foggy,Night,Zone A,None,Drug Offense,53.20921379968563
Clear,Afternoon,Zone B,None,Assault,34.25192793849059
Cloudy,Afternoon,Zone E,None,Theft,57.36575973789883
Cloudy,Night,Zone D,Minor,Drug Offense,101.0
Clear,Evening,Zone D,Major,Drug Offense,127.78754875300312
Cloudy,Evening,Zone A,Major,Vandalism,128.59601561329904
Clear,Night,Zone E,Major,Vandalism,70.21329163816041
Clear,Night,Zone D,Minor,Assault,55.136833250691
Rainy,Night,Zone A,Minor,Assault,90.0
Stormy,Morning,Zone A,None,Drug Offense,84.68679879116729
Cloudy,Afternoon,Zone D,None,Theft,60.3840857511927
Cloudy,Afternoon,Zone D,Severe,Assault,87.50944588791795
Rainy,Night,Zone E,Major,Drug Offense,71.0
Rainy,Morning,Zone E,Severe,Drug Offense,145.62762535576056
Rainy,Morning,Zone B,Minor,Assault,93.80784292675104
Foggy,Afternoon,Zone D,Severe,Theft,83.21287725320677
Foggy,Evening,Zone C,None,Assault,98.45144439547748
Foggy,Night,Zone C,Minor,Assault,90.0
Clear,Night,Zone B,Minor,Drug Offense,43.79800176916031
Cloudy,Morning,Zone D,None,Assault,137.75127036036574
Stormy,Afternoon,Zone A,None,None,86.58149886657829
Clear,Morning,Zone C,Major,Assault,118.30022112974919
Cloudy,Evening,Zone E,None,Drug Offense,89.27580094205611
Cloudy,Afternoon,Zone C,Severe,Assault,43.209724743483214
Rainy,Night,Zone D,Severe,Vandalism,63.812027745872975
Rainy,Afternoon,Zone C,Major,Drug Offense,55.0
Clear,Afternoon,Zone B,None,Vandalism,38.61532816308359
Rainy,Night,Zone E,Severe,Vandalism,91.58481379054865
Cloudy,Evening,Zone B,Severe,Theft,184.00898699207522
Rainy,Morning,Zone A,None,Assault,66.0709538304064
Foggy,Evening,Zone A,Major,Assault,91.99283198811192
Rainy,Evening,Zone A,None,Assault,70.56328447028751
Cloudy,Evening,Zone A,None,Vandalism,110.02254358548107
Clear,Afternoon,Zone D,Severe,None,53.124308619841635
Stormy,Evening,Zone D,Severe,None,264.66458849761244
Rainy,Afternoon,Zone D,Severe,None,102.7607477371623
Cloudy,Afternoon,Zone B,Major,Theft,59.0
Stormy,Morning,Zone B,Severe,Theft,159.2242066478571
Stormy,Morning,Zone C,None,Vandalism,105.55960462984176
Foggy,Evening,Zone E,Major,Drug Offense,143.90998488555144
Stormy,Afternoon,Zone B,None,Vandalism,78.39907072085485
Cloudy,Night,Zone C,Severe,Drug Offense,106.15944497091996
Cloudy,Afternoon,Zone A,Major,None,70.0
Rainy,Morning,Zone A,Major,Drug Offense,117.61920694168879
Rainy,Night,Zone B,Minor,Drug Offense,86.0
Rainy,Afternoon,Zone D,Severe,Drug Offense,49.717308876900155
Stormy,Evening,Zone C,Major,Assault,179.82295201874422
Stormy,Afternoon,Zone E,Minor,Vandalism,123.80486757927669
Foggy,Night,Zone C,Minor,Theft,78.0
Rainy,Evening,Zone D,None,Assault,70.9075619679322
Clear,Night,Zone D,Minor,None,77.07549482508828
Foggy,Morning,Zone B,Major,Assault,105.05690821835854
Clear,Morning,Zone D,Major,Vandalism,122.71150485776147
Stormy,Afternoon,Zone D,None,Theft,47.82354148795378
Foggy,Afternoon,Zone E,None,Drug Offense,61.261670211881736
Foggy,Morning,Zone D,Minor,None,224.33353270953134
Cloudy,Night,Zone A,Major,None,55.0
Stormy,Night,Zone D,None,Drug Offense,53.467999082569
Stormy,Evening,Zone A,Severe,Theft,249.94578122534446
Foggy,Evening,Zone E,Minor,Theft,163.81741308651036
Stormy,Evening,Zone B,None,Vandalism,110.81695443041582
Foggy,Morning,Zone A,Minor,None,169.63126319091324
Cloudy,Morning,Zone B,None,Vandalism,106.32041170803369
Foggy,Morning,Zone B,None,Drug Offense,85.9004828741263
Stormy,Afternoon,Zone A,Major,None,83.65189532513966
Stormy,Night,Zone C,Severe,Drug Offense,14.064273249547409
Foggy,Morning,Zone D,None,Drug Offense,89.82012677418714
Foggy,Evening,Zone E,Minor,Assault,175.91426338744427
Foggy,Evening,Zone B,None,None,115.44699421711418
Rainy,Morning,Zone C,Minor,Theft,159.6048512619945
Stormy,Morning,Zone B,Major,Assault,130.84940764725238
Stormy,Night,Zone C,None,Assault,39.695334861483595
Rainy,Evening,Zone E,Severe,Assault,188.91150060456374
Foggy,Night,Zone C,None,Vandalism,67.98656253276548
Cloudy,Morning,Zone E,None,None,96.55325447707872
Foggy,Night,Zone D,Minor,Vandalism,109.0
Foggy,Afternoon,Zone C,Minor,Theft,106.0
Rainy,Morning,Zone B,Minor,Theft,145.11397056208634
Stormy,Evening,Zone D,Major,None,140.96711499921818
Foggy,Evening,Zone B,Severe,None,188.6305932872583
Stormy,Night,Zone B,Major,Assault,65.10878209401642
Clear,Morning,Zone D,Severe,None,201.55037476112523
Stormy,Evening,Zone D,Severe,None,100.1456179340696
Cloudy,Night,Zone E,Major,Assault,77.0
Cloudy,Night,Zone C,Major,Theft,67.0
Foggy,Morning,Zone E,None,None,113.7741928667827
Stormy,Evening,Zone A,None,Vandalism,148.46423215848
Foggy,Evening,Zone A,Minor,Theft,162.492178422429
Rainy,Evening,Zone E,Minor,Theft,194.96577590133373
Cloudy,Morning,Zone E,Major,Drug Offense,128.55171420202507
Foggy,Morning,Zone C,Major,Vandalism,184.65962136715186
Rainy,Morning,Zone D,Severe,None,215.72432034932007
Foggy,Afternoon,Zone A,Severe,Vandalism,88.903345737226
Stormy,Night,Zone D,Severe,Assault,79.56369684881224
Stormy,Afternoon,Zone B,Major,None,89.01140789562916
Stormy,Afternoon,Zone B,None,Theft,75.39295019748886
Stormy,Evening,Zone D,Major,Theft,150.41522423871422
Clear,Evening,Zone B,Severe,None,137.5779438809
Rainy,Night,Zone A,Minor,Vandalism,96.0
Rainy,Night,Zone A,Major,None,72.0
Stormy,Morning,Zone B,Major,None,119.48357306495498
Clear,Evening,Zone A,Minor,None,88.48613238185128
Stormy,Afternoon,Zone B,Major,Theft,72.82267828806161
Clear,Night,Zone C,Major,Drug Offense,76.46863454265521
Stormy,Night,Zone C,Minor,Vandalism,71.50082649736656
Cloudy,Afternoon,Zone D,Minor,None,133.0
Cloudy,Morning,Zone B,Major,Drug Offense,154.51382822366114
Foggy,Evening,Zone C,Minor,Vandalism,158.89106359659178
Stormy,Evening,Zone C,None,Vandalism,118.19748842430722
Rainy,Afternoon,Zone A,Minor,None,68.0
Foggy,Morning,Zone D,Severe,Vandalism,216.69522394183852
Cloudy,Afternoon,Zone D,Major,Drug Offense,78.0
Stormy,Evening,Zone C,Minor,Assault,166.93443484259348
Foggy,Afternoon,Zone C,None,None,59.71854171616652
Stormy,Afternoon,Zone D,Minor,None,94.29750248558332
Cloudy,Evening,Zone A,Severe,Vandalism,94.71745584263967
Foggy,Evening,Zone E,Severe,Assault,201.80244875628122
Cloudy,Evening,Zone A,Major,Drug Offense,135.60321778568814
Clear,Afternoon,Zone E,None,Theft,46.22219264963156
Cloudy,Afternoon,Zone D,None,Assault,57.19578460755792
Stormy,Afternoon,Zone D,None,Vandalism,50.82884564627941
Rainy,Morning,Zone D,Major,Drug Offense,107.01879942503997
Cloudy,Night,Zone B,Minor,Vandalism,89.0
Rainy,Morning,Zone B,None,None,98.29879913836989
Clear,Night,Zone B,Minor,Vandalism,57.065793881372834
Foggy,Evening,Zone D,Minor,None,177.84528156330057
Foggy,Night,Zone C,Severe,Theft,91.02009529550418
Rainy,Morning,Zone D,Minor,Vandalism,148.83878805553857
Foggy,Evening,Zone E,Major,Drug Offense,166.0421269151816
Cloudy,Night,Zone A,Major,Vandalism,68.0
Rainy,Night,Zone E,Major,None,39.0
Stormy,Night,Zone A,Severe,Drug Offense,61.071097247705495
Cloudy,Afternoon,Zone E,Minor,Theft,95.0
Cloudy,Evening,Zone A,Severe,Drug Offense,143.13530217615994
Cloudy,Afternoon,Zone C,Severe,Vandalism,118.78540578248527
Stormy,Evening,Zone A,Minor,Drug Offense,135.96760116274098
Clear,Night,Zone D,Major,None,72.04297975677628
Foggy,Night,Zone E,Major,Assault,81.0
Rainy,Morning,Zone B,Severe,Assault,181.8377486778294
Clear,Night,Zone C,Major,Theft,46.521746136284214
Rainy,Afternoon,Zone E,Minor,Theft,85.0
Foggy,Afternoon,Zone C,None,Drug Offense,75.30474408990113
Stormy,Night,Zone B,Minor,Theft,124.78341349828185
Cloudy,Afternoon,Zone B,Major,Vandalism,44.0
Cloudy,Night,Zone B,None,Drug Offense,74.13676073613816
Stormy,Morning,Zone B,Minor,None,238.21591112139444
Clear,Morning,Zone B,Severe,None,131.95060546931128
Clear,Night,Zone D,Minor,None,76.1826186307489
Rainy,Morning,Zone A,Severe,Drug Offense,219.01497582590727
Stormy,Night,Zone B,Major,Vandalism,40.89761976878327
Clear,Afternoon,Zone E,None,Drug Offense,39.832283656768666
Stormy,Night,Zone E,Minor,Vandalism,111.25511623607886
Foggy,Evening,Zone B,Minor,Drug Offense,141.8905691004669
Cloudy,Evening,Zone C,None,None,137.31710183017023
Cloudy,Night,Zone B,Minor,Vandalism,76.0
Cloudy,Night,Zone D,Major,Drug Offense,81.0
Stormy,Night,Zone A,Severe,Theft,62.68230208237279
Stormy,Morning,Zone E,Major,Assault,108.38009217796622
Rainy,Evening,Zone B,Severe,Vandalism,166.70170266062829
Cloudy,Night,Zone A,None,None,65.87745378765563
Rainy,Night,Zone A,Minor,Drug Offense,49.0
Cloudy,Afternoon,Zone B,None,Drug Offense,55.15795258387677
Rainy,Afternoon,Zone A,Major,Vandalism,62.0
Rainy,Morning,Zone E,Minor,Assault,147.59698959923165
Foggy,Morning,Zone B,None,Assault,66.04872739459921
Rainy,Evening,Zone C,None,None,101.757790083983
Stormy,Evening,Zone B,Severe,Vandalism,124.3354607870185
Rainy,Night,Zone E,Major,None,81.0
Cloudy,Evening,Zone B,None,Vandalism,107.43324413765433
Rainy,Night,Zone B,Major,Assault,89.0
Clear,Morning,Zone B,Minor,None,114.44593687378878
Cloudy,Morning,Zone D,Severe,Vandalism,155.14452579187343
Clear,Morning,Zone D,Major,None,104.13160679660247
Cloudy,Afternoon,Zone E,Minor,Theft,79.0
Stormy,Evening,Zone A,Major,None,192.50030781492478
Stormy,Morning,Zone B,Minor,Vandalism,220.75462926981706
Stormy,Morning,Zone B,Minor,Theft,196.10403482209088
Clear,Morning,Zone D,None,Assault,101.71438644115177
Foggy,Evening,Zone C,Minor,Theft,133.72748774522842
Cloudy,Evening,Zone D,Major,Assault,142.52399597790864
Stormy,Afternoon,Zone A,Severe,Drug Offense,131.93461703508794
Cloudy,Afternoon,Zone B,Severe,None,113.08550465974791
Clear,Afternoon,Zone B,Major,Drug Offense,43.31063668446112
Foggy,Afternoon,Zone E,None,None,73.70172922216753
Clear,Morning,Zone C,None,Assault,134.34842485541634
Cloudy,Night,Zone E,None,Assault,72.67213287916343
Foggy,Afternoon,Zone C,None,Assault,72.88244711666002
Foggy,Night,Zone C,Minor,None,95.0
Clear,Morning,Zone C,None,Theft,98.5667744055117
Stormy,Morning,Zone C,None,Vandalism,54.73393828299506
Cloudy,Evening,Zone E,Severe,Vandalism,224.47731635712165
Rainy,Night,Zone B,Minor,Theft,90.0
Rainy,Night,Zone B,Major,Assault,50.0
Clear,Morning,Zone E,Severe,Drug Offense,171.17886689700833
Cloudy,Evening,Zone D,Major,Drug Offense,120.671296490281
Cloudy,Afternoon,Zone A,Severe,Theft,108.10037655077349
Clear,Afternoon,Zone C,Major,Theft,51.21390745968229
Cloudy,Evening,Zone E,None,None,117.01224282211551
Stormy,Evening,Zone C,Severe,None,226.13914465776784
Clear,Afternoon,Zone C,Minor,Drug Offense,56.418133075515776
Stormy,Morning,Zone C,Severe,Assault,149.2629655014711
Cloudy,Morning,Zone E,Severe,Assault,196.46648337100712
Clear,Evening,Zone B,Major,Drug Offense,70.59390166156082
Cloudy,Morning,Zone D,Minor,Drug Offense,120.8831636813094
Clear,Morning,Zone D,None,None,68.703643161986
Cloudy,Night,Zone E,Severe,Drug Offense,109.55414289003717
Stormy,Afternoon,Zone A,Major,None,76.12009081044013
Stormy,Evening,Zone D,None,Drug Offense,92.81056604814721
Cloudy,Afternoon,Zone D,None,Assault,51.10732821498442
Clear,Night,Zone C,None,Theft,37.030983589149194
Rainy,Morning,Zone E,None,Theft,75.74865527936537
Stormy,Morning,Zone B,Severe,Assault,200.9680673791498
Stormy,Night,Zone E,Major,Assault,57.22370244079273
Rainy,Afternoon,Zone E,Minor,Assault,79.0
Cloudy,Night,Zone D,Major,Theft,86.0
Clear,Morning,Zone C,Major,None,137.15553325173028
Cloudy,Morning,Zone E,Major,Vandalism,147.4991266156323
Foggy,Afternoon,Zone B,Minor,None,102.0
Stormy,Morning,Zone C,None,Assault,90.04581429892137
Foggy,Afternoon,Zone C,Severe,Theft,89.2632350851669
Stormy,Evening,Zone B,None,Assault,120.75704401088055
Stormy,Morning,Zone B,None,Vandalism,143.37466277495434
Foggy,Morning,Zone B,Major,Theft,137.4641352015928
Foggy,Afternoon,Zone E,Major,Vandalism,78.0
Cloudy,Evening,Zone C,Major,Drug Offense,135.27722435917303
Foggy,Morning,Zone C,Minor,None,160.4485576852214
Cloudy,Morning,Zone A,Severe,Theft,269.2179091006868
Cloudy,Evening,Zone A,Major,None,120.71020138688127
Cloudy,Morning,Zone A,Major,Assault,105.23288445860665
Stormy,Afternoon,Zone E,Minor,Drug Offense,179.8265094045603
Stormy,Evening,Zone E,Major,Vandalism,165.16967461561097
Foggy,Evening,Zone B,Major,Theft,131.22181019877434
Stormy,Night,Zone E,None,Drug Offense,57.90920557261947
Foggy,Morning,Zone C,None,Theft,89.66190165327194
Stormy,Evening,Zone C,Minor,Theft,155.5642585151498
Clear,Evening,Zone D,Severe,Drug Offense,149.89511177213373
Clear,Evening,Zone D,Minor,Drug Offense,110.02288494522622
Foggy,Night,Zone E,Severe,None,127.89365876191427
Stormy,Morning,Zone D,None,None,114.31111118593672
Stormy,Evening,Zone E,Minor,Assault,220.507435901655
Cloudy,Morning,Zone B,None,Drug Offense,104.13475518986303
Rainy,Evening,Zone B,Minor,Vandalism,125.05574137649121
Foggy,Afternoon,Zone D,None,Vandalism,52.072045486857355
Rainy,Evening,Zone E,Major,Assault,171.08684586956085
Rainy,Evening,Zone D,Minor,Vandalism,163.0923430761281
Foggy,Night,Zone C,Major,Assault,85.0
Stormy,Evening,Zone E,Major,None,152.64610889526358
Foggy,Afternoon,Zone A,None,Vandalism,56.704758397975766
Rainy,Evening,Zone C,Severe,Theft,161.9188831024872
Stormy,Afternoon,Zone E,Minor,Vandalism,84.24738648247904
Clear,Afternoon,Zone D,Minor,Vandalism,60.34618233080003
Foggy,Afternoon,Zone D,Major,Assault,69.0
Foggy,Night,Zone D,Minor,None,107.0
Stormy,Morning,Zone E,Severe,Vandalism,175.2618078846425
Clear,Morning,Zone D,Severe,None,144.91526182879701
Clear,Afternoon,Zone E,Major,Vandalism,57.53294662806467
Stormy,Night,Zone E,None,Assault,69.7203688380996
Cloudy,Night,Zone D,Severe,None,106.39657832437722
Foggy,Morning,Zone B,Major,Assault,113.68675890578832
Foggy,Afternoon,Zone B,None,None,68.58028281010017
Rainy,Morning,Zone C,Major,Assault,141.13921126838645
Stormy,Morning,Zone E,None,Vandalism,125.9639534914395
Rainy,Night,Zone D,Major,Drug Offense,94.0
Rainy,Night,Zone D,Minor,Assault,115.0
Clear,Evening,Zone D,Minor,Vandalism,164.56741314411923
Foggy,Night,Zone B,Major,None,82.0
Rainy,Night,Zone A,Severe,Assault,27.30278969558781
Clear,Morning,Zone E,None,Theft,68.80673837271077
Stormy,Night,Zone C,Minor,Drug Offense,82.79953100162945
Rainy,Night,Zone C,Severe,Vandalism,67.92956221774934
Foggy,Morning,Zone C,None,Theft,124.31434356037258
Rainy,Night,Zone E,Major,Assault,95.0
Stormy,Night,Zone E,Severe,Drug Offense,32.64343280761832
Rainy,Evening,Zone C,None,Vandalism,82.77499304401194
Foggy,Afternoon,Zone C,Minor,Vandalism,97.0
Clear,Evening,Zone D,None,Assault,63.0410791573386
Foggy,Night,Zone A,Major,None,106.0
Clear,Morning,Zone B,None,None,80.526439176698
Cloudy,Morning,Zone E,Minor,Theft,125.3114974855573
Foggy,Afternoon,Zone A,None,Drug Offense,67.80044877874867
Foggy,Morning,Zone C,None,Vandalism,102.42266160256356
Stormy,Night,Zone C,None,Assault,41.37171254608577
Rainy,Evening,Zone C,Severe,Drug Offense,171.6725200997125
Clear,Afternoon,Zone C,None,Theft,44.12951945775517
Clear,Evening,Zone D,Major,Vandalism,95.02559773045537
Stormy,Morning,Zone E,Minor,Theft,155.72684191072534
Stormy,Night,Zone C,None,None,81.17217848550409
Rainy,Afternoon,Zone C,None,Assault,48.22487958298276
Rainy,Morning,Zone E,Severe,None,187.17694648190283
Foggy,Morning,Zone B,Minor,Theft,147.07773387798366
Cloudy,Evening,Zone D,Major,Drug Offense,137.96016124884346
Rainy,Morning,Zone D,Minor,None,172.6217975322523
Stormy,Evening,Zone A,Severe,None,266.6127107367687
Rainy,Morning,Zone D,None,Drug Offense,129.88032473009517
Clear,Evening,Zone A,Major,Theft,108.44014656579297
Cloudy,Evening,Zone B,Severe,Theft,181.44335111798478
Foggy,Night,Zone E,Major,Vandalism,52.0
Clear,Afternoon,Zone C,Minor,Drug Offense,69.17789089091852
Clear,Afternoon,Zone A,Minor,Theft,68.14465900748088
Cloudy,Night,Zone D,None,Drug Offense,62.43134493605929
Foggy,Morning,Zone C,Severe,Assault,105.9681976386165
Stormy,Morning,Zone B,None,Vandalism,103.87551859955508
Foggy,Afternoon,Zone E,Major,Drug Offense,67.0
Rainy,Evening,Zone A,Major,None,115.06313488545717
Clear,Evening,Zone D,Major,Assault,104.68725631397473
Rainy,Afternoon,Zone C,Minor,Theft,78.0
Stormy,Afternoon,Zone C,Severe,Vandalism,63.041392091261415
Rainy,Night,Zone C,Minor,Theft,60.0
Foggy,Morning,Zone E,None,Drug Offense,94.6478594658808
Rainy,Evening,Zone A,Major,None,184.07920319504603
Stormy,Night,Zone E,Severe,Drug Offense,47.519734867534
Stormy,Afternoon,Zone D,Major,Drug Offense,51.21754317550161
Stormy,Night,Zone A,None,Vandalism,40.85513356989628
Foggy,Night,Zone B,Major,None,99.0
Stormy,Evening,Zone B,Minor,None,180.51405881203775
Clear,Night,Zone E,Major,Assault,51.96469219611129
Stormy,Evening,Zone E,Minor,Theft,190.44247557036596
Rainy,Afternoon,Zone E,Minor,Assault,94.0
Rainy,Evening,Zone B,None,None,83.85839027499465
Rainy,Morning,Zone B,Minor,Drug Offense,109.38511057247737
Foggy,Afternoon,Zone A,Severe,Assault,94.47577831991885
Rainy,Evening,Zone A,Minor,Theft,167.67507891558188
Foggy,Afternoon,Zone E,Major,Drug Offense,85.0
Foggy,Night,Zone C,Minor,None,113.0
Stormy,Afternoon,Zone A,Severe,None,133.4136515121133
Clear,Evening,Zone B,Minor,Vandalism,120.65187897307514
Stormy,Night,Zone D,None,None,119.55873483269075
Stormy,Morning,Zone C,None,Theft,109.06200328471822
Foggy,Afternoon,Zone B,Severe,Theft,80.66196026063406
Foggy,Evening,Zone C,Major,Assault,145.07165479328424
Rainy,Afternoon,Zone D,Major,Theft,63.0
Rainy,Afternoon,Zone E,None,Drug Offense,60.56916140886346
Stormy,Evening,Zone C,Severe,Drug Offense,292.0
Cloudy,Morning,Zone D,Major,Vandalism,149.53585289476803
Cloudy,Evening,Zone D,Major,Drug Offense,111.3291812430747
Rainy,Afternoon,Zone C,Minor,Assault,82.0
Cloudy,Morning,Zone C,Major,Assault,104.3327781276181
Rainy,Morning,Zone C,Major,Theft,122.69610867841104
Foggy,Morning,Zone C,None,None,129.90818076318914
Stormy,Morning,Zone E,Minor,Drug Offense,194.79401924946313
Clear,Afternoon,Zone B,Major,Assault,34.298270954139795
Stormy,Evening,Zone A,None,Drug Offense,117.59496956097716
Rainy,Evening,Zone E,Major,Drug Offense,88.27961931158252
Rainy,Night,Zone C,None,Theft,44.750943533187225
Stormy,Night,Zone D,Minor,Theft,103.84700280271758
Rainy,Night,Zone E,Major,Assault,42.0
Cloudy,Morning,Zone A,Severe,Assault,217.6510944525745
Cloudy,Morning,Zone A,None,None,126.40341438760501
Rainy,Evening,Zone E,Minor,Theft,167.86989638328055
Rainy,Morning,Zone D,Major,Assault,126.49437677691256
Cloudy,Evening,Zone D,Severe,Vandalism,225.19705275969216
Rainy,Night,Zone D,None,Theft,59.61406188938881
Rainy,Evening,Zone B,Major,Theft,96.78882932966877
Stormy,Morning,Zone D,Minor,Assault,178.66047371287112
Clear,Evening,Zone A,Minor,Assault,104.60556895131802
Cloudy,Evening,Zone C,Major,Drug Offense,118.46903653571665
Stormy,Evening,Zone C,None,Assault,131.56347987350898
Clear,Morning,Zone A,Minor,Theft,133.50430366220579
Rainy,Afternoon,Zone D,Minor,Assault,82.0
Rainy,Night,Zone C,Severe,Vandalism,63.540914706652366
Stormy,Afternoon,Zone A,None,Theft,44.980753025178714
Rainy,Afternoon,Zone D,None,Vandalism,56.99965890106243
Foggy,Afternoon,Zone B,Severe,None,100.65919440054822
Stormy,Afternoon,Zone C,Major,Drug Offense,48.505984408444064
Clear,Morning,Zone D,Minor,Assault,132.27787251443834
Stormy,Morning,Zone D,None,Vandalism,79.44479181956517
Cloudy,Afternoon,Zone C,Minor,Assault,87.0
Stormy,Afternoon,Zone D,Severe,None,63.05478436183144
Rainy,Evening,Zone E,None,Theft,132.36433781085267
Rainy,Evening,Zone E,Severe,Theft,196.23322999746128
Foggy,Night,Zone B,Severe,None,79.6226359578149
Foggy,Night,Zone A,Minor,Drug Offense,124.0
Foggy,Night,Zone E,Major,Assault,90.0
Clear,Evening,Zone E,None,Vandalism,95.66313810991804
Foggy,Afternoon,Zone B,Minor,Drug Offense,103.0
Clear,Afternoon,Zone E,Major,Theft,52.91007478550306
Foggy,Night,Zone E,Major,Vandalism,70.0
Clear,Night,Zone C,Severe,None,128.5462375461029
Stormy,Morning,Zone B,Minor,Drug Offense,206.3959638429294
Stormy,Night,Zone D,Major,Assault,89.90686729336183
Rainy,Evening,Zone D,Major,Vandalism,118.36846177415478
Clear,Evening,Zone A,Severe,Vandalism,157.37538572025477
Cloudy,Night,Zone A,Minor,Theft,101.0
Rainy,Night,Zone E,None,None,70.60073697689212
Stormy,Morning,Zone E,None,Theft,157.06881065778535
Clear,Morning,Zone D,None,Assault,61.32051192051995
